date,tmean_c,prcp_mm,srad_wm2,swe_mm,swe_b1_mm,swe_b2_mm,swe_b3_mm
2004-10-01,7.691350311375983,2.3969793684095175,216.56546631749674,0.5161558675715754,0.0,0.0,1.5317741496520183
2004-10-02,8.802395774942413,0.7415161960970135,325.15215007036716,0.4972007006715432,0.0,0.0,1.475521694756148
2004-10-03,9.52538731495616,0.1365574250399167,368.2031960975123,0.4788003292305906,0.0,0.0,1.4209156831072771
2004-10-04,9.270400321738942,0.0,384.06683501157266,0.4621415242283463,0.0,0.0,1.3714780452352384
2004-10-05,9.018366280026877,0.31023385777636214,364.7792848575095,0.44544365584843965,0.0,0.0,1.3219244806134314
2004-10-06,8.912205190891799,0.0036448513067337753,360.68130000421405,0.43116071826140534,0.0,0.0,1.279537604959289
2004-10-07,9.160903991262465,0.0,383.4390937244488,0.41785520265575304,0.0,0.0,1.2400513835812024
2004-10-08,9.9123447315644,0.0,398.33145726524435,0.40327770126575163,0.0,0.0,1.1967903432664293
2004-10-09,10.916480562494385,0.0,387.2444547702749,0.3875509432207935,0.0,0.0,1.1501187021119126
2004-10-10,10.995679243988425,0.0,374.24695235363635,0.3723467993522986,0.0,0.0,1.1049980011598477
2004-10-11,8.875414742486795,0.0,367.60696686689704,0.3589013588040076,0.0,0.0,1.0650965303900723
2004-10-12,7.041788486480952,2.500472794688696,340.3573271349182,0.3490131948271197,0.0,0.0,1.0357518403091894
2004-10-13,4.652554961207948,0.5350719678274988,261.7293199086858,0.348448457639742,0.0,0.0,1.0340758934115164
2004-10-14,7.082119803335692,0.04912317533299907,357.6650560069901,0.3419638727798932,0.0,0.0,1.0148318625216344
2004-10-15,8.736259226139815,0.0,327.7399552148478,0.32577020395271916,0.0,0.0,0.9667745897947071
2004-10-16,10.108956977754215,0.0,351.994119715961,0.30970730795676676,0.0,0.0,0.9191054061217406
2004-10-17,8.579450228020683,0.01948899580968967,288.2467373949383,0.2993973233317006,0.0,0.0,0.888508896570687
2004-10-18,3.828199308747723,4.87860725753228,184.08219129737958,0.3180346729897829,0.0,0.0,0.9438181785489985
2004-10-19,4.198457821521411,4.6870285697726475,193.62580089673222,0.3135318121512623,0.0,0.0,0.930455227035191
2004-10-20,8.278102667346927,1.6396696592590216,223.54770845202847,0.30498296496325183,0.0,0.0,0.9050851712930581
2004-10-21,6.67493981733715,4.741761176099672,168.42790657139392,0.29725989247000945,0.0,0.0,0.8821657325260528
2004-10-22,2.0563568058492843,8.78945455622069,147.03221174382233,0.640946610989836,0.0,0.0,1.9021104121908576
2004-10-23,2.7587507258741915,2.0535484044873997,225.32031229426076,0.6850287405993387,0.0,0.0,2.032931101908354
2004-10-24,2.1637176063397368,8.932751521763018,97.62385635709312,0.6406472299395585,0.0,0.0,1.9012219515871485
2004-10-25,4.33757687372123,2.5794927808407664,186.3545772539677,0.5903544660891027,0.0,0.0,1.7519702227573897
2004-10-26,6.046242668681742,1.0456271461952973,250.8919029969717,0.531727619441591,0.0,0.0,1.5779857854733967
2004-10-27,7.579179499535566,2.7850865884417564,227.04857431373054,0.45454556492683557,0.0,0.0,1.3489358349633587
2004-10-28,4.453338240388663,7.665374879635923,193.56244164178366,0.7462773153936969,0.0,0.0,2.2146959320059523
2004-10-29,-0.5405265245068813,8.798057960596848,103.28607643894789,2.2190707343702036,0.0,0.0,6.5854432754002215
2004-10-30,0.6920840751299162,1.0173734779097845,165.17875941285536,2.303505476521944,0.0,0.0,6.836016723240829
2004-10-31,-2.066609571818619,6.074581516092204,165.02567949507306,5.942332341717904,0.001308797568653236,0.8582546281664792,16.777804719787632
2004-11-01,-5.210584827397958,0.0026599091056900863,276.987303958658,5.94499270137823,0.001308797568653236,0.8582546281664792,16.785699757725762
2004-11-02,-3.882115946453531,0.9463323815073172,331.4336558304846,6.8913268658864455,0.21020987722883835,1.5154045638893678,18.736116806895915
2004-11-03,1.352493190228475,4.6385576106652143E-4,340.7095723690529,6.853188470971559,0.20633903888295463,1.4709758945529678,18.670990375745053
2004-11-04,2.5440269968406044,0.00291560189130091,324.4132897222717,6.707459793616147,0.17607003197691964,1.328285623535546,18.410167864548587
2004-11-05,4.142813187305216,0.0,326.23355185036587,6.307382395458182,0.11536372141901335,1.0429414614642665,17.566302763076955
